"ID Number","Start Day","Start Month","Start Year","End Day","End Month","End Year","Outcome","Settlement","Fatality Level","MaxDur","MinDur","HiAct","HostLev","Recip","SideA","SideB","Version"
2,-9,7,1902,24,1,1903,6,1,0,208,155,7,3,0,1,1,2.1
3,2,5,1913,25,10,1913,4,3,0,177,177,10,3,0,1,1,2.1
4,15,5,1946,13,11,1946,5,3,2,183,183,19,4,-1,1,1,2.1
7,13,10,1951,26,1,1952,1,3,2,106,106,18,4,-1,1,1,2.1
8,-9,7,1856,14,3,1857,1,2,6,257,214,22,5,-1,1,1,2.1
9,29,12,1889,10,1,1890,6,1,0,13,13,8,3,0,1,1,2.1
11,11,3,1938,12,3,1938,4,1,0,2,2,16,4,0,1,1,2.1
12,11,3,1938,30,9,1938,4,1,0,204,204,19,4,-1,1,5,2.1
13,6,4,1863,17,8,1863,1,2,-9,134,134,17,4,0,3,1,2.1
14,15,10,1895,31,12,1895,4,3,0,78,78,8,3,0,1,1,2.1
15,-9,1,1839,23,3,1839,6,1,0,82,30,17,4,-1,1,1,2.1
16,25,12,1897,5,2,1898,4,3,0,43,43,8,3,0,2,2,2.1
19,15,1,1848,23,3,1849,5,1,6,434,434,22,5,-1,1,3,2.1
20,18,11,1945,9,5,1946,3,1,0,173,173,7,3,0,1,1,2.1
21,21,11,1912,3,12,1912,5,3,0,13,13,12,3,0,1,2,2.1
22,9,6,1940,17,6,1940,1,2,-9,9,9,19,4,-1,1,1,2.1
23,-9,3,1939,18,10,1939,4,1,0,232,185,15,4,0,1,1,2.1
25,2,8,1831,2,2,1832,5,3,-9,185,185,19,4,-1,2,4,2.1
26,21,3,1948,25,7,1949,5,3,0,492,492,19,4,-1,1,3,2.1
27,25,7,1961,28,10,1961,5,3,0,96,96,18,4,-1,4,4,2.1
28,19,7,1961,5,9,1961,6,1,3,49,49,18,4,-1,1,1,2.1
30,6,10,1908,31,3,1909,3,1,-9,177,177,18,4,-1,1,1,2.1
31,30,5,1900,16,8,1900,1,2,6,79,79,22,5,-1,8,1,2.1
38,29,12,1837,5,1,1838,5,3,0,8,8,19,4,-1,1,1,2.1
40,10,4,1928,18,11,1928,4,1,3,223,223,18,4,-1,1,1,2.1
41,27,5,1929,3,12,1929,8,4,6,191,191,22,5,-1,1,1,2.1
43,14,11,1897,6,3,1898,1,1,0,113,113,18,4,-1,1,1,2.1
50,11,2,1953,19,1,1956,5,3,2,1073,1073,19,4,-1,3,2,2.1
51,24,6,1950,27,7,1953,5,1,6,1130,1130,22,5,-1,2,15,2.1
53,22,8,1956,23,8,1956,5,3,0,2,2,19,4,-1,1,1,2.1
55,29,8,1923,27,9,1923,3,1,0,30,30,19,4,0,1,1,2.1
