"ID Number","Name","Version"
2,"Alaska Boundary Dispute I",2.1
4,"Corfu Channel",2.1
7,"Egyptian abrogation of 1936 Suez Canal treaty",2.1
8,"Anglo-Persian war",2.1
9,"Anglo-Portuguese Colonial Dispute of 1890",2.1
11,"Anschluss",2.1
12,"Munich Crisis",2.1
13,"Japanese anti-foreign dispute",2.1
14,"Armenian Massacres",2.1
15,"Aroostools War",2.1
16,"Anglo Russian crisis of 1897, Chemulpo naval demonstration",2.1
20,"Agerbaijan Crisis",2.1
22,"USSR Occupation of Latvia",2.1
25,"Netherlands-Belgium",2.1
26,"Berlin blockade",2.1
27,"Berlin Wall Crisis",2.1
28,"Bizerte Crisis",2.1
30,"Bosnian Annexation Crisis",2.1
31,"Boxer rebellion",2.1
38,"Caroline Affair",2.1
40,"Tsinan Clash",2.1
41,"Chinese Eastern Railway dispute/Sino-Soviet war",2.1
43,"Chinese concessions I",2.1
51,"Korean War",2.1
55,"Corfu Incident",2.1
56,"Major power intervention in Crete (1897)",2.1
57,"Crimean War",2.1
61,"Cuban Missile Crisis",2.1
64,"Danubian Principalities",2.1
65,"Danube question",2.1
67,"Dolfuss Affair",2.1
69,"Dominican Intervention",2.1
71,"Don Pacifico Affair",2.1
77,"Fashoda crisis",2.1
78,"Austria-Papal States",2.1
86,"Oujda and Casablanca Occupations",2.1
88,"Franco-Prussian War",2.1
89,"France-Spanish war",2.1
95,"German Loan Proposal",2.1
96,"Blockade of Greece by Major powers",2.1
106,"Aftermath of Sino-Japanese war",2.1
108,"Italian occupation of Albania",2.1
111,"Italy/Ethiopia",2.1
112,"Italian-Roman War",2.1
113,"Italo-Sicilian war",2.1
114,"Italian-Turkish War",2.1
115,"War of Italian Unification",2.1
119,"Penjdeh Dispute",2.1
121,"Koszta affair",2.1
122,"Kuwait-Iraq of 1961",2.1
123,"Blockade of Buenos Aires",2.1
125,"US intervention in Lebanon",2.1
126,"Leiningen Mission",2.1
127,"Second Occupation of the Ruhr",2.1
128,"Macedonian Dispute",2.1
129,"Manchurian War",2.1
131,"Masampo Naval base concession",2.1
133,"Memel",2.1
134,"German Occupation of Memel",2.1
135,"Franco-Mexican War",2.1
136,"Seizure USS Dolphin/ occupation of Veracruz",2.1
137,"UK and the Miguelite wars",2.1
139,"Jehol",2.1
141,"Treaty of Berlin/Dulcigno incident",2.1
142,"Morea Insurrection",2.1
144,"Greytown Incident",2.1
146,"Battle of Navarino Bay",2.1
147,"Neapolitan Revolution",2.1
149,"Canton of Neuchatel",2.1
153,"Near Eastern Crisis of 1833",2.1
154,"Punctuation of Olmutz",2.1
156,"Taba incident",2.1
157,"Marco-Polo bridge",2.1
158,"Cato Dispute",2.1
159,"Panamanian Independence",2.1
160,"Pastry War",2.1
164,"Perdicaris",2.1
165,"Russian occupation of Iran",2.1
167,"Defeat of the Carbonari in Piedmont",2.1
169,"Soviet invasion of Poland",2.1
174,"Remilitarization of the Rhineland",2.1
175,"War of the Roman Republic",2.1
177,"Third Occupation of the Ruhr",2.1
178,"China Eastern Railway",2.1
179,"Russo-Finnish War",2.1
180,"Russo-Japanese War",2.1
182,"Japanese invasion of Mongolia",2.1
183,"Nomahan War",2.1
184,"Chankufeng War",2.1
185,"Polish uprising",2.1
186,"UK/USSR during Russo-Polish War",2.1
187,"Russo-Turkish War of 1878",2.1
189,"Russo-Turkish War of 1828",2.1
191,"Samoan Dispute",2.1
194,"2nd Schleswig-Holstein War #46",2.1
196,"France/Thailand of 1893",2.1
197,"Allied intervention in Russian Civil War",2.1
198,"Sicilian insurrection",2.1
199,"Sino-Indian War",2.1
200,"Sinai War",2.1
202,"Sino-French War",2.1
203,"Tibetan Revolt",2.1
210,"Intervention into Spanish Civil War",2.1
211,"First Occupation of the Ruhr",2.1
212,"Spezzia Crisis",2.1
217,"Second Syrian War Dispute",2.1
220,"Tientsin Massacre",2.1
224,"Japan vs. treaty powers II",2.1
225,"Trent Affair",2.1
227,"Occupation of Tsushima",2.1
228,"Tunisian Affair",2.1
230,"Italian occupation of Adalia",2.1
236,"Hungarian Refugee Crisis",2.1
238,"Guatemalan default of payments",2.1
239,"Japan vs. treaty powers I",2.1
241,"British Trawler issue",2.1
242,"Dogger Bank Incident",2.1
246,"Bay of Pigs Invasion",2.1
247,"Dominican Debt Crisis",2.1
253,"U-2 and RB47 Incidents",2.1
254,"Venezuelan Debt Crisis",2.1
256,"Virginius",2.1
257,"World War I",2.1
258,"World War II",2.1
